.data
.text
.globl main
main:
	addi 	$fp,$sp,0 
	sb 	$a0,186($v0) 
	lb 	$a0,32($5) 
	sb 	$a0,187($v0) 
	lb 	$a0,33($5) 
	sb 	$a0,188($v0) 
	lb 	$a0,34($5) 
	sb 	$a0,189($v0) 
	lb 	$a0,35($5) 
	sb 	$a0,190($v0) 
	lb 	$a0,36($5) 
	sb 	$a0,191($v0) 
	lb 	$a0,37($5) 
	sb 	$a0,192($v0) 
	lb 	$a0,38($5) 
	sb 	$a0,193($v0) 
	lb 	$a0,39($5) 
	sb 	$a0,194($v0) 
	lb 	$a0,40($5) 
	sb 	$a0,195($v0) 
	lb 	$a0,41($5) 
	sb 	$a0,196($v0) 
	lb 	$a0,42($5) 
	sb 	$a0,197($v0) 
	lb 	$a0,43($5) 
	sb 	$a0,198($v0) 
	lb 	$a0,44($5) 
	sb 	$a0,199($v0) 
	lb 	$a0,45($5) 
	sb 	$a0,200($v0) 
	lb 	$a0,46($5) 
	sb 	$a0,201($v0) 
	lb 	$a0,47($5) 
	sb 	$a0,202($v0) 
	lb 	$a0,48($5) 
	sb 	$a0,203($v0) 
	lb 	$a0,49($5) 
	sb 	$a0,204($v0) 
	lb 	$a0,50($5) 
	sb 	$a0,205($v0) 
	lb 	$a0,51($5) 
	sb 	$a0,206($v0) 
	lb 	$a0,52($5) 
	sb 	$a0,207($v0) 
	lb 	$a0,53($5) 
	sb 	$a0,208($v0) 
	lb 	$a0,54($5) 
	sb 	$a0,209($v0) 
	lb 	$a0,55($5) 
	sb 	$a0,210($v0) 
	lb 	$a0,56($5) 
	sb 	$a0,211($v0) 
	lb 	$a0,57($5) 
	sb 	$a0,212($v0) 
	lb 	$a0,58($5) 
	sb 	$a0,213($v0) 
	lb 	$a0,59($5) 
	sb 	$a0,214($v0) 
	lb 	$a0,60($5) 
	sb 	$a0,215($v0) 
	lb 	$a0,61($5) 
	sb 	$a0,216($v0) 
	lb 	$a0,62($5) 
	sb 	$a0,217($v0) 
	lb 	$a0,63($5) 
	sb 	$a0,218($v0) 
	lb 	$a0,64($5) 
	sb 	$a0,219($v0) 
	lb 	$a0,65($5) 
	sb 	$a0,220($v0) 
	lb 	$a0,66($5) 
	sb 	$a0,221($v0) 
	lb 	$a0,67($5) 
	sb 	$a0,222($v0) 
	lb 	$a0,68($5) 
	sb 	$a0,223($v0) 
	lb 	$a0,69($5) 
	sb 	$a0,224($v0) 
	lb 	$a0,70($5) 
	sb 	$a0,225($v0) 
	lb 	$a0,71($5) 
	sb 	$a0,226($v0) 
	lb 	$a0,72($5) 
	sb 	$a0,227($v0) 
	lb 	$a0,73($5) 
	sb 	$a0,228($v0) 
	lb 	$a0,74($5) 
	sb 	$a0,229($v0) 
	lb 	$a0,75($5) 
	sb 	$a0,230($v0) 
	lb 	$a0,76($5) 
	sb 	$a0,231($v0) 
	lb 	$a0,77($5) 
	sb 	$a0,232($v0) 
	lb 	$a0,78($5) 
	sb 	$a0,233($v0) 
	lb 	$a0,79($5) 
	sb 	$a0,234($v0) 
	lb 	$a0,80($5) 
	sb 	$a0,235($v0) 
	lb 	$a0,81($5) 
	sb 	$a0,236($v0) 
	lb 	$a0,82($5) 
	sb 	$a0,237($v0) 
	lb 	$a0,83($5) 
	sb 	$a0,238($v0) 
	lb 	$a0,84($5) 
	sb 	$a0,239($v0) 
	lb 	$a0,85($5) 
	sb 	$a0,240($v0) 
	lb 	$a0,86($5) 
	sb 	$a0,241($v0) 
	lb 	$a0,87($5) 
	sb 	$a0,242($v0) 
	lb 	$a0,88($5) 
	sb 	$a0,243($v0) 
	lb 	$a0,89($5) 
	sb 	$a0,244($v0) 
	lb 	$a0,90($5) 
	sb 	$a0,245($v0) 
	lb 	$a0,91($5) 
	sb 	$a0,246($v0) 
	lb 	$a0,92($5) 
	sb 	$a0,247($v0) 
	lb 	$a0,93($5) 
	sb 	$a0,248($v0) 
	lb 	$a0,94($5) 
	sb 	$a0,249($v0) 
	lb 	$a0,95($5) 
	sb 	$a0,250($v0) 
	lb 	$a0,96($5) 
	sb 	$a0,251($v0) 
	lb 	$a0,97($5) 
	sb 	$a0,252($v0) 
	lb 	$a0,98($5) 
	sb 	$a0,253($v0) 
	lb 	$a0,99($5) 
	sb 	$a0,254($v0) 
	lb 	$a0,100($5) 
	sb 	$a0,255($v0) 
	lb 	$a0,101($5) 
	sb 	$a0,256($v0) 
	lb 	$a0,102($5) 
	sb 	$a0,257($v0) 
	lb 	$a0,103($5) 
	sb 	$a0,258($v0) 
	lb 	$a0,104($5) 
	sb 	$a0,259($v0) 
	lb 	$a0,105($5) 
	sb 	$a0,260($v0) 
	lb 	$a0,106($5) 
	sb 	$a0,261($v0) 
	lb 	$a0,107($5) 
	sb 	$a0,262($v0) 
	lb 	$a0,108($5) 
	sb 	$a0,263($v0) 
	lb 	$a0,109($5) 
	sb 	$a0,264($v0) 
	lb 	$a0,110($5) 
	sb 	$a0,265($v0) 
	lb 	$a0,111($5) 
	sb 	$a0,266($v0) 
	lb 	$a0,112($5) 
	sb 	$a0,267($v0) 
	lb 	$a0,113($5) 
	sb 	$a0,268($v0) 
	lb 	$a0,114($5) 
	sb 	$a0,269($v0) 
	lb 	$a0,115($5) 
	sb 	$a0,270($v0) 
	lb 	$a0,116($5) 
	sb 	$a0,271($v0) 
	lb 	$a0,117($5) 
	sb 	$a0,272($v0) 
	lb 	$a0,118($5) 
	sb 	$a0,273($v0) 
	lb 	$a0,119($5) 
	sb 	$a0,274($v0) 
	lb 	$a0,120($5) 
	sb 	$a0,275($v0) 
	lb 	$a0,121($5) 
	sb 	$a0,276($v0) 
	lb 	$a0,122($5) 
	sb 	$a0,277($v0) 
	lb 	$a0,123($5) 
	sb 	$a0,278($v0) 
	lb 	$a0,124($5) 
	sb 	$a0,279($v0) 
	lb 	$a0,125($5) 
	sb 	$a0,280($v0) 
	lb 	$a0,126($5) 
	sb 	$a0,281($v0) 
	lb 	$a0,127($5) 
	sb 	$a0,282($v0) 
	lb 	$a0,128($5) 
	sb 	$a0,283($v0) 
	lb 	$a0,129($5) 
	sb 	$a0,284($v0) 
	lb 	$a0,130($5) 
	sb 	$a0,285($v0) 
	lb 	$a0,131($5) 
	sb 	$a0,286($v0) 
	lb 	$a0,132($5) 
	sb 	$a0,287($v0) 
	lb 	$a0,133($5) 
	sb 	$a0,288($v0) 
	lb 	$a0,134($5) 
	sb 	$a0,289($v0) 
	lb 	$a0,135($5) 
	sb 	$a0,290($v0) 
	lb 	$a0,136($5) 
	sb 	$a0,291($v0) 
	lb 	$a0,137($5) 
	sb 	$a0,292($v0) 
	lb 	$a0,138($5) 
	sb 	$a0,293($v0) 
	li 	$a0,0 
	sb 	$a0,294($v0) 
	addi 	$6,$v0,0 
	addi 	$2,$6,0 
	sw 	$2,-16($fp) 
	lw 	$2,-16($fp) 
	add 	$a0,$2,0 
	li 	$v0,4 
	syscall
	jr 	$ra 
